"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.296217100E-2	-1.387837082E-1	7.674978375E-1	9.711270332E0	9.742539983E0
2.501715700E-2	-1.435693651E-1	7.770691514E-1	9.716055870E0	9.748137786E0
2.706876700E-2	-1.339980662E-1	7.579265833E-1	9.730413437E0	9.760807028E0
2.911927600E-2	-1.429711580E-1	7.674978375E-1	9.773484230E0	9.804615631E0
3.116980600E-2	-1.429711580E-1	7.776673436E-1	9.802198410E0	9.834037875E0
3.321657700E-2	-1.333998591E-1	7.872386575E-1	9.844670296E0	9.876997188E0
3.526397600E-2	-1.429711580E-1	8.063812256E-1	9.902098656E0	9.935907066E0
3.733484200E-2	-1.232303679E-1	7.968099117E-1	9.916455269E0	9.949179708E0
3.942438000E-2	-1.190429255E-1	8.063812256E-1	9.906884193E0	9.940360975E0
4.151429600E-2	-1.280160099E-1	8.063812256E-1	9.926026344E0	9.959550079E0
4.360580700E-2	-1.184447184E-1	7.824530005E-1	9.926026344E0	9.957522826E0
4.569210200E-2	-1.232303679E-1	7.776673436E-1	9.892526627E0	9.923811530E0
4.778134500E-2	-1.280160099E-1	7.776673436E-1	9.940383911E0	9.971578957E0
4.986998900E-2	-1.232303679E-1	7.872386575E-1	9.930811882E0	9.962728294E0
5.195991400E-2	-1.136590764E-1	8.015955687E-1	9.921240807E0	9.954219858E0
5.404924800E-2	-9.990034252E-2	8.261220455E-1	9.934999466E0	9.969787967E0
5.613856300E-2	-7.597211748E-2	8.261220455E-1	9.925428391E0	9.960039063E0
5.822858100E-2	-7.118647546E-2	8.404789567E-1	9.939785004E0	9.975509927E0
6.031909600E-2	-4.666004330E-2	8.069794178E-1	9.925428391E0	9.958289094E0
6.240642700E-2	-5.682953820E-2	8.069794178E-1	9.896714211E0	9.929722934E0
6.449579200E-2	-5.682953820E-2	8.165507317E-1	9.896714211E0	9.930505368E0
6.658446700E-2	-4.725824669E-2	7.974081635E-1	9.877572060E0	9.909819520E0
6.867422900E-2	-4.725824669E-2	7.830511928E-1	9.873384476E0	9.904500165E0
7.076343200E-2	-3.230310604E-2	7.686942816E-1	9.897313118E0	9.927171870E0
7.285280800E-2	-2.273181453E-2	7.399803996E-1	9.887741089E0	9.915417872E0
7.494258000E-2	-4.187439755E-2	7.304090858E-1	9.878170013E0	9.905225576E0
7.703365500E-2	-5.623133108E-2	7.399803996E-1	9.873384476E0	9.901234971E0
7.912078200E-2	-6.101697683E-2	7.495517135E-1	9.873384476E0	9.901983228E0
8.121003700E-2	-6.580262631E-2	7.543373108E-1	9.863813400E0	9.892834253E0
8.329555600E-2	-8.075776696E-2	7.734799385E-1	9.859027863E0	9.889652341E0
8.537592000E-2	-9.032905847E-2	7.968099117E-1	9.844670296E0	9.877276882E0
8.747815400E-2	-8.075776696E-2	7.920243144E-1	9.825528145E0	9.857729336E0
8.956714300E-2	-9.990034252E-2	7.872386575E-1	9.839884758E0	9.871831483E0
9.166012100E-2	-9.990034252E-2	7.824530005E-1	9.825528145E0	9.857140361E0
9.374772600E-2	-1.046859920E-1	7.728816867E-1	9.835099220E0	9.865975975E0
9.583498600E-2	-9.511470050E-2	7.920243144E-1	9.839884758E0	9.872167005E0
9.792438200E-2	-1.094716340E-1	7.872386575E-1	9.815957069E0	9.848083160E0
1.000131170E-1	-1.381855011E-1	7.728816867E-1	9.797411919E0	9.828820969E0
1.021028800E-1	-1.190429255E-1	7.728816867E-1	9.778269768E0	9.809489129E0
1.041922240E-1	-1.190429255E-1	7.489534616E-1	9.763913155E0	9.793319284E0
1.062819060E-1	-1.333998591E-1	7.537391186E-1	9.787840843E0	9.817726140E0
1.083718620E-1	-1.429711580E-1	7.387840152E-1	9.768698692E0	9.797638323E0
1.104630800E-1	-1.381855011E-1	7.393822074E-1	9.768698692E0	9.797614782E0
1.125493020E-1	-1.339980662E-1	7.435696125E-1	9.735198975E0	9.764473889E0
1.146386460E-1	-1.238285750E-1	7.202396393E-1	9.754940033E0	9.782276509E0
