"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.587179960E-1	-1.583606005E-3	1.585576683E-2	-1.184463501E-3	1.597861395E-2
1.754255260E-1	2.568006516E-3	2.052611858E-2	-5.970001221E-3	2.153037658E-2
1.921362510E-1	-6.340146065E-3	1.319907606E-3	-5.370140076E-3	8.412966935E-3
2.088750100E-1	-1.111191511E-2	-1.305335760E-2	-1.493930817E-2	2.273868357E-2
2.255788380E-1	-1.643303037E-2	6.069332361E-3	-5.366325378E-3	1.832153734E-2
2.422906310E-1	-6.299197674E-3	6.003953516E-3	8.989334106E-3	1.251141386E-2
2.610540790E-1	7.273256779E-3	1.301370561E-3	-2.451705933E-2	2.560624977E-2
3.425307250E-1	2.954870462E-3	-8.748076856E-3	-1.015758514E-2	1.372722274E-2
3.592427210E-1	-1.916527748E-3	-1.374787092E-2	-1.972866058E-2	2.412254302E-2
3.759582160E-1	-6.687939167E-3	-4.393041134E-3	-1.015377045E-2	1.292773743E-2
3.926867730E-1	-1.140773296E-2	1.286938787E-4	8.993148804E-3	1.452685991E-2
4.093913320E-1	-1.627713442E-2	1.910589635E-2	2.753734589E-2	3.725970744E-2
4.261072750E-1	-6.690323353E-3	1.909027994E-2	2.275276184E-2	3.044482527E-2
4.428177770E-1	-6.675422192E-3	-9.437464178E-3	-1.493644714E-2	1.888715026E-2
4.595281230E-1	7.594794035E-3	-1.408689469E-2	-1.015472412E-2	1.895362552E-2
4.762384410E-1	1.239371300E-2	-9.263813496E-3	-1.494121552E-2	2.150958585E-2
4.929502120E-1	-6.634443998E-3	-4.594296217E-3	4.206657410E-3	9.100514901E-3
5.096593700E-1	-1.628926396E-2	-4.658810794E-3	-5.807876587E-4	1.695234358E-2
5.263718450E-1	-6.703466177E-3	-9.359702468E-3	-5.807876587E-4	1.152726348E-2
5.430814800E-1	2.830654383E-3	-4.640012980E-3	-5.817413330E-4	5.466328536E-3
5.597917370E-1	2.793729305E-3	9.748801589E-3	8.988380432E-3	1.355120063E-2
5.764879240E-1	-1.628255844E-2	-4.524216056E-3	-5.368232727E-3	1.773155839E-2
5.932052800E-1	7.666617632E-3	-4.472531378E-3	-1.493835449E-2	1.737627687E-2
6.098875840E-1	7.812321186E-3	-4.568099976E-3	-5.362510681E-3	1.051933555E-2
6.265996810E-1	-1.108074188E-2	5.005441606E-3	9.002685547E-3	1.512896670E-2
6.433092660E-1	-1.103022695E-2	1.956517994E-2	9.000778198E-3	2.419661507E-2
6.600207440E-1	-6.093353033E-3	-2.339138836E-2	-5.352020264E-3	2.475742558E-2
6.767303480E-1	3.525733948E-3	-1.381090283E-2	-5.350112915E-3	1.522483317E-2
6.934502280E-1	-1.312434673E-3	5.483910441E-3	-5.683898926E-4	5.667347313E-3
7.101876860E-1	-1.621598005E-2	1.027181745E-2	-5.352973938E-3	1.992793448E-2
7.268985120E-1	3.572106361E-3	8.550956845E-4	-1.013851166E-2	1.078334601E-2
7.436087980E-1	3.569185734E-3	-1.822845638E-2	-1.492500305E-2	2.382795469E-2
7.603190860E-1	3.716945648E-3	-8.648790419E-3	-5.636215210E-4	9.430531792E-3
7.770299520E-1	-9.212493896E-4	1.064454019E-2	4.223823547E-3	1.148893475E-2
7.937412970E-1	-2.469590306E-2	5.910679698E-3	4.228591919E-3	2.574305250E-2
8.104503330E-1	-5.502820015E-3	1.132659614E-3	4.230499268E-3	7.032856459E-3
8.271609550E-1	-6.690919399E-4	-1.795031130E-2	-5.550384521E-4	1.797135019E-2
8.438725750E-1	-6.704926491E-4	-8.420638740E-3	-5.339622498E-3	9.993412110E-3
8.605830040E-1	4.161864519E-3	5.889385939E-3	-5.337715149E-3	8.972022404E-3
8.772931390E-1	-5.308002234E-3	1.112900674E-3	-5.334854126E-3	7.607503149E-3
8.940048380E-1	-5.357831717E-3	1.219190657E-3	9.018898010E-3	1.056093310E-2
9.107141700E-1	-5.307048559E-3	-1.292587072E-2	-5.338668823E-3	1.495808420E-2
9.274253110E-1	-5.306661129E-3	-3.347322345E-3	-5.531311035E-4	6.298505635E-3
9.441312140E-1	-5.407720804E-3	-3.293223679E-3	-1.012802124E-2	1.194426979E-2
1.027667114E0	-6.897449493E-4	1.612670720E-3	-5.346298218E-3	5.626665049E-3
1.044376862E0	-6.927549839E-4	-3.070265055E-3	-1.491832733E-2	1.524673497E-2
1.061088614E0	-7.439553738E-4	-3.012850881E-3	-5.350112915E-3	6.185018046E-3
1.077803601E0	-1.143753529E-3	6.510786712E-3	-5.569458008E-4	6.633905665E-3
1.094487683E0	-5.480647087E-4	-3.006272018E-3	-5.588531494E-4	3.106503374E-3
1.111206332E0	-5.233645439E-3	-7.734119892E-3	-5.341529846E-3	1.075823388E-2
1.127917738E0	-5.133718252E-3	-7.726393640E-3	-5.338668823E-3	1.070297186E-2
1.144627475E0	-3.007948399E-4	1.947462559E-3	-5.521774292E-4	2.046457394E-3
1.161338942E0	4.581719637E-3	1.952983439E-3	-5.334854126E-3	7.298422274E-3
1.178049138E0	-5.522370338E-5	-2.825215459E-3	-5.330085754E-3	6.032802516E-3
1.194804926E0	-5.388706923E-3	1.965820789E-3	-5.329132080E-3	7.829576132E-3
1.211504735E0	-4.791289568E-3	-7.598996162E-3	-5.435943604E-4	8.999816289E-3
1.228211086E0	-4.841268063E-3	-2.757363021E-3	-5.331993103E-3	7.711749330E-3
1.244932358E0	-5.760788918E-5	-2.701669931E-3	-5.331993103E-3	5.977665894E-3
1.261638444E0	4.723846912E-3	-2.745747566E-3	-5.331993103E-3	7.634396492E-3
1.278348141E0	-1.145601273E-4	-2.641297877E-3	-5.493164062E-4	2.700245732E-3
1.295058570E0	-4.799425602E-3	2.299763262E-3	-5.483627319E-4	5.350149424E-3
