"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.540005530E-1	-4.539990425E-2	-2.792440355E-1	6.042041779E-1	6.671589550E-1
1.707121910E-1	-2.988183498E-2	-6.298512816E-1	3.779525757E-1	7.351555689E-1
1.874125980E-1	-6.299778223E-1	-3.697570860E-1	-8.479595184E-2	7.353792985E-1
2.041417940E-1	-1.145677567E-1	-1.226058602E-1	-1.079120636E-1	1.995068452E-1
2.208398410E-1	4.611430168E-1	-4.050515890E-1	1.403703690E-1	6.296217215E-1
2.375586210E-1	-7.627925873E-1	2.644704580E-1	-3.777446747E-1	8.913406720E-1
2.542844190E-1	-2.872093916E-1	-5.940662026E-1	-4.090929031E-1	7.763767714E-1
2.709753870E-1	-1.132239103E-1	-1.422784567E0	-3.943328857E-1	1.480754538E0
2.876581050E-1	-7.116265297E-1	-1.069116354E0	-3.850765228E-1	1.340785600E0
3.043739140E-1	-9.349262714E-2	-3.122052550E-1	-2.869424820E-1	4.342222709E-1
3.210845340E-1	-5.036633015E-1	-7.676703334E-1	5.149936676E-2	9.195904778E-1
3.377952670E-1	-8.441143036E-1	-1.477837086E0	6.295289993E-1	1.814617913E0
3.545061120E-1	-1.159469843E0	-5.043179393E-1	9.245109558E-1	1.566342047E0
3.712162850E-1	-1.423257589E0	-1.080537558E0	8.370704651E-1	1.973299405E0
3.879548800E-1	-8.917915225E-1	-1.506830931E0	4.799423218E-1	1.815537443E0
4.046455830E-1	-1.253702641E0	-5.423722863E-1	1.995754242E-2	1.366139199E0
4.213676690E-1	-8.784564734E-1	-1.160916924E0	-3.571214676E-1	1.498982863E0
4.380640380E-1	-1.469415545E0	-1.138889551E0	-2.222995758E-1	1.872343066E0
4.547915250E-1	-1.031279564E0	-1.287508607E0	-1.762151718E-1	1.658996003E0
4.715027460E-1	-9.924389124E-1	-9.976232052E-1	-6.882190704E-2	1.408873135E0
4.882123600E-1	-1.619544744E0	-1.006574631E0	-3.100471497E-1	1.931902405E0
5.049238660E-1	-1.427653432E0	-8.785015345E-1	-8.444976807E-2	1.678419206E0
5.216301020E-1	-1.377727151E0	-1.176762462E0	-1.130313873E-1	1.815400256E0
5.383210190E-1	-2.028829336E0	-8.770006299E-1	1.701955795E-1	2.216809671E0
5.550330440E-1	-1.869952679E0	-1.089564085E0	4.108715057E-1	2.202881819E0
5.717433900E-1	-1.694099188E0	-1.137403250E0	2.440280914E-1	2.055044506E0
5.884535130E-1	-2.457085133E0	-1.111757994E0	1.973114014E-1	2.704108906E0
6.051646230E-1	-2.417634487E0	-1.114480495E0	3.318881989E-2	2.662353242E0
6.218754260E-1	-1.591727495E0	-1.064010262E0	3.823690414E-1	1.952413978E0
6.386143560E-1	-2.516436338E0	-1.009591103E0	5.248260498E-2	2.711914538E0
6.553011040E-1	-2.119098663E0	-8.373531103E-1	-1.895904541E-3	2.278539657E0
6.720295350E-1	-2.146221876E0	-7.853368521E-1	5.093669891E-2	2.285960818E0
6.887402890E-1	-2.254384279E0	-4.497376084E-1	1.342878342E-1	2.302725693E0
7.054509200E-1	-2.704455376E0	-5.950429440E-1	-1.171274185E-1	2.771619349E0
